pt,central,min,max,min_sc,max_sc,min_mass,max_mass,min_pdf,max_pdf,fr55,fr22,fr21,fr12,fr15,fr51
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.250,76658842.981,22986272.918,256330763.303,30596000.000,197960000.000,45774000.000,59953000.000,33512000.000,86391000.000,182540000.000,129320000.000,178630000.000,30596000.000,197960000.000,40054000.000
0.500,153521244.500,51327929.500,459233919.500,48965000.000,313860000.000,95988000.000,106210000.000,65994000.000,146420000.000,207570000.000,200460000.000,271020000.000,56353000.000,313860000.000,48965000.000
0.750,232548085.237,51994467.327,640069272.112,45188000.000,396770000.000,122010000.000,161440000.000,99780000.000,191920000.000,174670000.000,240510000.000,338600000.000,79444000.000,396770000.000,45188000.000
1.000,297961901.042,46941657.026,775524118.000,39307000.000,443570000.000,137170000.000,213270000.000,127380000.000,218650000.000,137000000.000,253420000.000,375830000.000,95921000.000,443570000.000,39307000.000
1.250,332833973.889,42434187.240,826874423.149,34309000.000,444400000.000,140770000.000,236700000.000,141550000.000,223190000.000,107500000.000,241990000.000,371830000.000,102730000.000,444400000.000,34309000.000
1.500,333725569.100,40517441.440,793099280.400,30846000.000,408290000.000,134590000.000,232240000.000,141620000.000,209720000.000,87267000.000,214690000.000,335720000.000,100610000.000,408290000.000,30846000.000
1.750,308713807.661,42929694.303,703119932.080,29964000.000,353390000.000,122150000.000,210440000.000,131720000.000,186100000.000,77392000.000,181440000.000,285260000.000,92584000.000,353390000.000,29964000.000
2.000,269067469.218,50370912.596,588944706.998,32302000.000,294600000.000,106940000.000,181630000.000,116770000.000,159140000.000,77723000.000,149110000.000,233990000.000,81770000.000,294600000.000,32302000.000
2.250,224053439.382,56044073.134,472773488.565,34533000.000,240240000.000,91441000.000,152310000.000,100400000.000,133050000.000,78524000.000,120790000.000,188390000.000,70359000.000,240240000.000,34533000.000
2.500,179634230.550,55235850.150,366558640.500,34261000.000,193640000.000,77045000.000,125680000.000,84735000.000,109830000.000,74330000.000,97247000.000,150410000.000,59591000.000,193640000.000,34261000.000
2.750,139212124.545,49296107.520,275554110.162,31974000.000,155300000.000,64366000.000,102860000.000,70753000.000,90085000.000,66745000.000,78175000.000,119760000.000,50020000.000,155300000.000,31974000.000
3.000,105016675.908,41539866.157,202181400.628,29010000.000,124420000.000,53534000.000,83904000.000,58745000.000,73718000.000,58535000.000,62939000.000,95451000.000,41793000.000,124420000.000,29010000.000
3.250,77682770.015,33651698.063,145824500.185,25873000.000,99828000.000,44440000.000,68414000.000,48648000.000,60324000.000,50644000.000,50843000.000,76328000.000,34851000.000,99828000.000,25873000.000
3.500,56826822.430,26541315.290,104219041.640,22784000.000,80302000.000,36885000.000,55851000.000,40264000.000,49435000.000,43407000.000,41254000.000,61313000.000,29056000.000,80302000.000,22784000.000
3.750,41512808.759,20673897.377,74524589.943,19912000.000,64830000.000,30650000.000,45701000.000,33350000.000,40612000.000,37026000.000,33648000.000,49521000.000,24247000.000,64830000.000,19912000.000
4.000,30405289.080,16011105.425,53512553.024,17322000.000,52566000.000,25530000.000,37504000.000,27679000.000,33472000.000,31498000.000,27586000.000,40218000.000,20275000.000,52566000.000,17322000.000
4.250,22377985.137,12373003.610,38663871.734,15024000.000,42823000.000,21331000.000,30886000.000,23036000.000,27693000.000,26766000.000,22737000.000,32848000.000,17000000.000,42823000.000,15024000.000
4.500,16597126.800,9572183.100,28182273.300,13006000.000,35066000.000,17888000.000,25538000.000,19236000.000,23011000.000,22747000.000,18844000.000,26988000.000,14300000.000,35066000.000,13006000.000
4.750,12440412.461,7449180.137,20786592.173,11260000.000,28875000.000,15061000.000,21216000.000,16128000.000,19211000.000,19359000.000,15700000.000,22299000.000,12075000.000,28875000.000,11260000.000
5.000,9442045.682,5846550.811,15539371.019,9758200.000,23908000.000,12732000.000,17708000.000,13577000.000,16114000.000,16508000.000,13144000.000,18523000.000,10237000.000,23908000.000,9758200.000
5.250,7264174.873,4634970.328,11786309.279,8466500.000,19898000.000,10807000.000,14850000.000,11477000.000,13578000.000,14108000.000,11058000.000,15466000.000,8712600.000,19898000.000,8466500.000
5.500,5669159.490,3715096.275,9074820.150,7354700.000,16644000.000,9209300.000,12511000.000,9740000.000,11493000.000,12086000.000,9347300.000,12978000.000,7443500.000,16644000.000,7354700.000
5.750,4488601.264,3005334.384,7094900.292,6382800.000,13992000.000,7877900.000,10588000.000,8298900.000,9770900.000,10380000.000,7937000.000,10944000.000,6382800.000,13992000.000,6399900.000
6.000,3603703.060,2435956.495,5629122.924,5492800.000,11818000.000,6763700.000,8999100.000,7097900.000,8340900.000,8939100.000,6768200.000,9272700.000,5492800.000,11818000.000,5579600.000
6.250,2930104.293,1998486.383,4526202.550,4743400.000,10027000.000,5827700.000,7680400.000,6092900.000,7148400.000,7718200.000,5795200.000,7890700.000,4743400.000,10027000.000,4874100.000
6.500,2408082.976,1656444.359,3680827.842,4110100.000,8544100.000,5038600.000,6580800.000,5248700.000,6149600.000,6681600.000,4981400.000,6742500.000,4110100.000,8544100.000,4266300.000
6.750,1996218.949,1384224.619,3020926.295,3573000.000,7309900.000,4370800.000,5659900.000,4537000.000,5309700.000,5799400.000,4298100.000,5784200.000,3573000.000,7309900.000,3741800.000
7.000,1668865.547,1166019.938,2501597.272,3115600.000,6278200.000,3803600.000,4885700.000,3934900.000,4600600.000,5047300.000,3722000.000,4981400.000,3115600.000,6278200.000,3288600.000
7.250,1407485.795,990405.212,2090712.181,2724700.000,5412000.000,3320200.000,4232000.000,3423400.000,3999400.000,4403900.000,3234100.000,4306100.000,2724700.000,5412000.000,2896200.000
7.500,1197750.120,848517.320,1763884.605,2389700.000,4681700.000,2906700.000,3678000.000,2987400.000,3487800.000,3851800.000,2819400.000,3735500.000,2389700.000,4681700.000,2555600.000
7.750,1028544.980,733347.088,1502313.996,2101700.000,4063600.000,2551800.000,3206600.000,2614500.000,3050900.000,3376700.000,2465600.000,3251500.000,2101700.000,4063600.000,2259700.000
8.000,890924.811,639150.284,1291204.729,1853400.000,3538600.000,2246300.000,2804000.000,2294500.000,2676600.000,2966600.000,2162500.000,2839300.000,1853400.000,3538600.000,2001900.000
8.250,778058.318,561442.841,1119185.894,1638700.000,3091100.000,1982600.000,2459400.000,2019300.000,2354800.000,2612500.000,1902200.000,2487000.000,1638700.000,3091100.000,1777100.000
8.500,684577.252,496742.422,977627.966,1452500.000,2708300.000,1754500.000,2163400.000,1781900.000,2077600.000,2306500.000,1678000.000,2184900.000,1452500.000,2708300.000,1580800.000
8.750,606294.069,442255.157,859899.150,1290600.000,2379800.000,1556400.000,1908400.000,1576600.000,1837800.000,2041300.000,1484200.000,1924900.000,1290600.000,2379800.000,1409000.000
9.000,539867.317,395745.813,760649.196,1149400.000,2097000.000,1384000.000,1687900.000,1398300.000,1629900.000,1810700.000,1316100.000,1700400.000,1149400.000,2097000.000,1258300.000
9.250,482659.277,355500.431,675830.564,1025900.000,1852900.000,1233500.000,1496700.000,1243100.000,1449000.000,1609700.000,1170000.000,1506000.000,1025900.000,1852900.000,1125900.000
9.500,432755.514,320175.578,602408.376,917630.000,1641600.000,1101700.000,1330300.000,1107600.000,1291200.000,1434000.000,1042500.000,1337200.000,917630.000,1641600.000,1009400.000
9.750,388724.288,288837.643,538138.712,822510.000,1458100.000,986090.000,1185200.000,989020.000,1153100.000,1280100.000,931020.000,1190200.000,822510.000,1458100.000,906530.000
10.000,349903.216,261087.696,481896.294,738760.000,1298200.000,884390.000,1058400.000,885010.000,1032000.000,1145000.000,833270.000,1061700.000,738760.000,1298200.000,815710.000
10.250,315839.269,236613.075,432744.110,664850.000,1158400.000,794780.000,947150.000,793600.000,925630.000,1026300.000,747380.000,949270.000,664850.000,1158400.000,735340.000
10.500,286029.872,215100.951,389931.337,599470.000,1035800.000,715640.000,849450.000,713090.000,831900.000,921750.000,671710.000,850560.000,599470.000,1035800.000,664080.000
10.750,259952.439,196201.379,352656.451,541510.000,928060.000,645580.000,763400.000,641990.000,749130.000,829480.000,604890.000,763710.000,541510.000,928060.000,600750.000
11.000,236873.964,179402.384,319823.454,490020.000,833250.000,583430.000,687420.000,579060.000,675880.000,747840.000,545760.000,687120.000,490020.000,833250.000,544360.000
11.250,216168.631,164264.983,290536.160,444170.000,749620.000,528190.000,620180.000,523260.000,610900.000,675460.000,493310.000,619430.000,444170.000,749620.000,494060.000
11.500,197350.960,150438.784,264094.332,403270.000,675710.000,478980.000,560550.000,473660.000,553150.000,611140.000,446690.000,559480.000,403270.000,675710.000,449100.000
11.750,180144.532,137735.507,240080.506,366720.000,610280.000,435060.000,507560.000,429480.000,501710.000,553890.000,405160.000,506280.000,366720.000,610280.000,408860.000
12.000,164637.940,126240.327,218571.327,333990.000,552230.000,395800.000,460360.000,390070.000,455810.000,502810.000,368110.000,458970.000,333990.000,552230.000,372770.000
12.250,150931.889,116051.369,199622.632,304650.000,500540.000,360620.000,418250.000,354840.000,414780.000,457170.000,334980.000,416750.000,304650.000,500540.000,340370.000
12.500,139036.231,107192.513,183215.376,278300.000,454420.000,329060.000,380600.000,323280.000,378010.000,416310.000,305310.000,379000.000,278300.000,454420.000,311220.000
12.750,128828.681,99580.545,169160.110,254590.000,413200.000,300690.000,346880.000,294970.000,345020.000,379660.000,278680.000,345200.000,254590.000,413200.000,284960.000
13.000,119848.198,92873.747,156830.490,233220.000,376300.000,275140.000,316610.000,269520.000,315370.000,346730.000,254740.000,314880.000,233220.000,376300.000,261270.000
13.250,111682.857,86758.268,145654.242,213930.000,343210.000,252100.000,289410.000,246610.000,288670.000,317090.000,233190.000,287640.000,213930.000,343210.000,239850.000
13.500,104011.649,80988.889,135210.479,196490.000,313480.000,231300.000,264920.000,225950.000,264580.000,290380.000,213750.000,263120.000,196490.000,313480.000,220450.000
13.750,96649.204,75426.403,125254.036,180700.000,286740.000,212480.000,242830.000,207300.000,242830.000,266270.000,196190.000,241040.000,180700.000,286740.000,202870.000
